pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,classe
x,x,x,x,o,o,x,o,o,X venceu
x,x,x,x,o,o,o,x,o,X venceu
x,x,x,x,o,o,o,o,x,X venceu
x,x,x,x,o,o,o,b,b,X venceu
x,x,x,x,o,o,b,o,b,X venceu
x,x,x,x,o,o,b,b,o,X venceu
x,x,x,x,o,b,o,o,b,X venceu
x,x,x,x,o,b,o,b,o,X venceu
x,x,x,x,o,b,b,o,o,X venceu
x,x,x,x,b,o,o,o,b,X venceu
x,x,x,x,b,o,o,b,o,X venceu
x,x,x,x,b,o,b,o,o,X venceu
x,x,x,o,x,o,x,o,o,X venceu
x,x,x,o,x,o,o,x,o,X venceu
x,x,x,o,x,o,o,o,x,X venceu
x,x,x,o,x,o,o,b,b,X venceu
x,x,x,o,x,o,b,o,b,X venceu
x,x,x,o,x,o,b,b,o,X venceu
x,x,x,o,x,b,o,o,b,X venceu
x,x,x,o,x,b,o,b,o,X venceu
x,x,x,o,x,b,b,o,o,X venceu
x,x,x,o,o,x,x,o,o,X venceu
x,x,x,o,o,x,o,x,o,X venceu
x,x,x,o,o,x,o,o,x,X venceu
x,x,x,o,o,x,o,b,b,X venceu
x,x,x,o,o,x,b,o,b,X venceu
x,x,x,o,o,x,b,b,o,X venceu
x,x,x,o,o,b,x,o,b,X venceu
x,x,x,o,o,b,x,b,o,X venceu
x,x,x,o,o,b,o,x,b,X venceu
x,x,x,o,o,b,o,b,x,X venceu
x,x,x,o,o,b,b,x,o,X venceu
x,x,x,o,o,b,b,o,x,X venceu
x,x,x,o,o,b,b,b,b,X venceu
x,x,x,o,b,x,o,o,b,X venceu
x,x,x,o,b,x,o,b,o,X venceu
x,x,x,o,b,x,b,o,o,X venceu
x,x,x,o,b,o,x,o,b,X venceu
x,x,x,o,b,o,x,b,o,X venceu
x,x,x,o,b,o,o,x,b,X venceu
x,x,x,o,b,o,o,b,x,X venceu
x,x,x,o,b,o,b,x,o,X venceu
x,x,x,o,b,o,b,o,x,X venceu
x,x,x,o,b,o,b,b,b,X venceu
x,x,x,o,b,b,x,o,o,X venceu
x,x,x,o,b,b,o,x,o,X venceu
x,x,x,o,b,b,o,o,x,X venceu
x,x,x,o,b,b,o,b,b,X venceu
x,x,x,o,b,b,b,o,b,X venceu
x,x,x,o,b,b,b,b,o,X venceu
x,x,x,b,x,o,o,o,b,X venceu
x,x,x,b,x,o,o,b,o,X venceu
x,x,x,b,x,o,b,o,o,X venceu
x,x,x,b,o,x,o,o,b,X venceu
x,x,x,b,o,x,o,b,o,X venceu
x,x,x,b,o,x,b,o,o,X venceu
x,x,x,b,o,o,x,o,b,X venceu
x,x,x,b,o,o,x,b,o,X venceu
x,x,x,b,o,o,o,x,b,X venceu
x,x,x,b,o,o,o,b,x,X venceu
x,x,x,b,o,o,b,x,o,X venceu
x,x,x,b,o,o,b,o,x,X venceu
x,x,x,b,o,o,b,b,b,X venceu
x,x,x,b,o,b,x,o,o,X venceu
x,x,x,b,o,b,o,x,o,X venceu
x,x,x,b,o,b,o,o,x,X venceu
x,x,x,b,o,b,o,b,b,X venceu
x,x,x,b,o,b,b,o,b,X venceu
x,x,x,b,o,b,b,b,o,X venceu
x,x,x,b,b,o,x,o,o,X venceu
x,x,x,b,b,o,o,x,o,X venceu
x,x,x,b,b,o,o,o,x,X venceu
x,x,x,b,b,o,o,b,b,X venceu
x,x,x,b,b,o,b,o,b,X venceu
x,x,x,b,b,o,b,b,o,X venceu
x,x,x,b,b,b,o,o,b,X venceu
x,x,x,b,b,b,o,b,o,X venceu
x,x,x,b,b,b,b,o,o,X venceu
